name,abbrv,formula,state,ref1,ref2,date,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T
Fe(OH)4-,NA,Fe(OH)4-,aq,DSM+99,NA,31.Oct.08,-201966,-251145,17.71,25.26,56.86,9.9287,16.4724,-0.7257,-3.46,89.7885,-27.1819,1.0185,-1
Ga(OH)4-,NA,Ga(OH)4-,aq,DPB+97,NA,25.Aug.06,-244130,-289848,32.55,26.29,49.6,8.2456,16.0979,-0.5785,-3.4445,37.7982,-1.033,1.0213,-1
Ga+3,NA,Ga+3,aq,BDP+97,NA,25.Aug.06,-38740,NA,-48.05,-24.14,-41,-2.815,-14.654,11.51,-2.173,16.904,-7.952,2.728,3
GaOH+2,NA,GaOH+2,aq,BDP+97,NA,25.Aug.06,-91550,NA,-30.28,1.67,-14.35,0.124,-7.479,8.689,-2.469,14.931,-2.694,0.853,2
Ga(OH)2+,NA,Ga(OH)2+,aq,BDP+97,NA,25.Aug.06,-142180,NA,12.02,18.68,9.64,3.063,-0.302,5.869,-2.766,16.602,0.77,-0.056,1
Ga(OH)3,NA,Ga(OH)3,aq,BDP+97,NA,25.Aug.06,-192510,NA,31.7,26.88,30.96,6.002,6.874,3.048,-3.063,21.919,2.441,0,0
Ge(OH)4,NA,Ge(OH)4,aq,PS98,PRH+05,13.Sep.07,-231200,-267000,47.83,50,54.9,9.29,14.9,-0.11,-3.4,60,-4.5,0.09,0
GeO(OH)3-,NA,GeO(OH)3-,aq,PS98,NA,25.Aug.06,-218500,-260500,27.14,18,27.14,5.96,6.77,3.09,-3.06,27.66,0.63,1.2,-1
NaSO4-,NA,NaSO4-,aq,PSS95,NA,25.Aug.06,-241780,-275480,20.44,5,18.2,4.75,3.83,4.25,-2.73,21.05,-2.02,1.31,-1
As(OH)3,NA,H3AsO3,aq,PPB+08,PGS+96,15.Aug.08,-152916,-176219,50.76,20.32,47.5,10.8,3.85,10.44,-4.3,44.5,-11.4,0.12,0
H3AsO4,NA,AsO(OH)3,aq,PPB+08,NA,15.Aug.08,-183150,-214771,47.39,25.1,53,11.5,2.8,13,-3.01,47.49,-10.06,0.24,0
Al+3,NA,Al+3,aq,TS01,NA,25.Aug.06,-116510,NA,-81.203,-28.56,-45.3,-3.3984,-16.0789,12.0699,-2.1143,14.4295,-8.8523,2.7403,3
Al(OH)4-,NA,Al(OH)4-,aq,TS01,NA,25.Aug.06,-312087,NA,24.748,23.06,46.3,8.4938,12.9576,0.657,-3.3147,55.7265,-11.4047,1.0403,-1
AlOH+2,NA,AlOH+2,aq,TS01,NA,25.Aug.06,-166425,NA,-43.29,-8.97,-20.6,-0.4532,-8.8878,9.2434,-2.4116,15.4131,-4.8618,1.5897,2
Al(OH)2+,NA,Al(OH)2+,aq,TS01,NA,25.Aug.06,-214987,NA,-6.584,9.76,3.86,2.4944,-1.6909,6.4146,-2.7091,16.7439,-1.0465,0.5324,1
Al(OH)3,NA,Al(OH)3,aq,TS01,NA,25.Aug.06,-263321,NA,14.185,23.65,27.02,5.4624,5.556,3.5662,-3.0087,20.027,1.7829,0,0
AlF+2,NA,AlF+2,aq,TS01,NA,25.Aug.06,-193374,NA,-52.413,-3.41,-17.74,0.0486,-7.6626,8.7618,-2.4622,21.3382,-3.7292,1.882,2
AlF2+,NA,AlF2+,aq,TS01,NA,25.Aug.06,-268382,NA,-29.84,20.88,9.58,3.4523,0.648,5.4953,-2.8058,27.4906,1.2187,0.996,1
AlF3,NA,AlF3,aq,TS01,NA,25.Aug.06,-341248,NA,-14.45,40.33,35.6,6.6365,8.4227,2.4395,-3.1272,29.8025,5.1806,0,0
AlF4-,NA,AlF4-,aq,TS01,NA,25.Aug.06,-411835,NA,-6.691,45.3,57.74,10.3172,17.4096,-1.0929,-3.4987,48.4334,6.193,1.7229,-1
Al(OH)2F2-,NA,Al(OH)2F2-,aq,TS01,NA,25.Aug.06,-361765,NA,45.062,34.18,52.02,9.3237,14.9838,-0.1394,-3.3984,1.8352,21.1478,1.1651,-1
Al(OH)2F,NA,Al(OH)2F,aq,TS01,NA,25.Aug.06,-291441,NA,25.181,19.55,21.52,4.7098,3.7184,4.2885,-2.9327,17.6241,0.9477,0,0
AlOHF2,NA,AlOHF2,aq,TS01,NA,25.Aug.06,-308085,NA,42.004,15.45,16.02,3.9572,1.8807,5.0108,-2.8567,15.2213,0.1126,0,0
AlSO4+,NA,AlSO4+,aq,TS01,NA,25.Aug.06,-298759,NA,-46.724,106.7,-6.17,1.833,-3.3057,7.0494,-2.6423,90.7261,18.7002,2.4143,1
NaAl(OH)3F,NA,NaAl(OH)3F,aq,TS01,NA,25.Aug.06,-398892,NA,71.594,28.2,48,8.3333,12.5657,0.811,-3.2985,22.6935,2.7097,0,0
NaAl(OH)2F2,NA,NaAl(OH)2F2,aq,TS01,NA,25.Aug.06,-403511,NA,128.933,24.2,42.4,7.567,10.6947,1.5464,-3.2211,20.3493,1.8949,0,0
NaAl(OH)4,NA,NaAl(OH)4,aq,DPS+96,NA,25.Aug.06,-374611,-413601,48.8,32.2,53.6,9.1267,14.3411,0.1121,-3.3719,60.7157,-14.0523,0,0
AlH3SiO4+2,NA,AlH3SiO4+2,aq,TS01,NA,25.Aug.06,-425860,NA,13.57,-71.9,-13.93,0.16,-7.23,8.61,-2.48,37.07,-49.66,0.88,2
Sb(OH)3,NA,Sb(OH)3,aq,ZSA03,NA,28.Aug.06,-154010,NA,43.26,66.4,54,9.1718,14.613,0.0064,-3.3831,45.5017,10.4911,0.0461,0
HCl,NA,HCl,aq,TZA97,NA,20.Oct.06,-30411,-42890,0.42,35.74,16.38,16.1573,-11.4311,-46.1866,-2.3036,46.4716,-5.2811,0,0
CaOH+,NA,CaOH+,aq,AZ99,NA,20.Oct.06,-171490,NA,-5.346,15.59,-29.4,-2.2875,-13.3704,11.0053,-2.2263,14.5527,0.1431,-0.082,1
CaHCO3+,NA,CaHCO3+,aq,AZ99,NA,20.Oct.06,-273720,NA,8.003,67.408,4.764,2.448,-1.826,6.468,-2.7035,55.5203,6.1746,0.0723,1
AgCl2-,NA,AgCl2-,aq,AZ01,NA,20.Oct.06,-51350,-60093,49.78,-16.6,37.1,7.1327,9.8065,1.8947,-3.1844,4.8953,-6.7789,0.6667,-1
Ag(HS)2-,NA,Ag(HS)2-,aq,AZ01,NA,20.Oct.06,287,-6636,49,3.348,42.82,7.8651,11.4225,1.2604,-3.2512,13.9576,-2.3624,0.6367,-1
Ag(OH)2-,NA,Ag(OH)2-,aq,AZ01,NA,20.Oct.06,-61901,-88893,15.518,-23.3,-6.84,1.2839,-4.6464,7.5763,-2.5869,3.495,-7.7808,1.2039,-1
AgCl,NA,AgCl,aq,AZ01,NA,20.Oct.06,-17399,-18810,32.067,-5.33,21.63,4.275,3.7555,4.2739,-2.9343,3.0441,-4.1199,0,0
AgHS,NA,AgHS,aq,AZ01,NA,20.Oct.06,2791,4769,36.221,1.806,24.449,5.1106,4.697,3.9039,-2.9732,7.225,-2.6667,0,0
AgOH,NA,AgOH,aq,AZ01,NA,20.Oct.06,-22019,-31173,19.6,-6.42,0.365,1.8149,-3.3498,7.0667,-2.6405,2.4041,-4.3424,0,0
Cu+,NA,Cu+,aq,AZ01,NA,20.Oct.06,11940,19220,16.726,3.465,-3.542,1.4159,-4.3243,7.4497,-2.6002,11.4699,-2.3288,1,0.3587
