Marc Neveu - 23 April 2017
This file lists the quantities output by PHREEQC simulations in Outputs_xx_xx.txt.
Each line corresponds to a simulation whose input parameters (temperature, pressure, etc.) are given in the first few columns.
Each column corresponds to a physical or chemical quantity (solution, solid, and gas composition) according to the list below.

Column		Quantity

0		Temperature (celsius)
1		Pressure (bar)
2		W:R by mass
3		Log fO2=FMQ±…

Initial speciated solution

4		pe(FMQ) at pH that balances charge
5		pH that balances charge at pe(output #6) ≠ pH that balances charge at pe(output #7)
6		pe of speciated solution at pH that balances charge (output #5)
7		pe of speciated solution at pH 7 = input pe at pH 7
8	        mu (ionic strength)
9	   	Percent error in charge balance = Cations-|Anions| / (Cations + |Anions|)
10	           C
11	          Cl
12	           N
13	           S
14	       C(-4)
15	        C(4)
16	       N(-3)
17	        N(0)
18	       S(-2)
19	        S(6)
20	       m_CH4
21	      m_C2H6
22	      m_C3H8
23	     m_HCO3-
24	       m_CO2
25	       m_Cl-
26	      m_NH4+
27	       m_NH3
28	        m_N2
29	       m_H2S
30	       m_HS-
31	   si_CH4(g)
32	  si_C2H6(g)
33	    si_H2(g)
34	   si_H2S(g)

Equilibrium solution, solid, and gas compositions after water:rock interaction

35		Final pH
36		Final pe
37		mu (ionic strength)
38		mass_H2O
39		Percent error in charge balance = Cations-|Anions| / (Cations + |Anions|)
40	          Al
41	           B
42	           C
43	          Ca
44	          Cl
45	          Co
46	          Cr
47	          Cu
48	          Eu
49	          Fe
50	          Gd
51	           K
52	          Li
53	          Mg
54	          Mn
55	          Mo
56	           N
57	          Na
58	          Ni
59	           P
60	           S
61	          Sc
62	          Si
63	          Sm
64	          Th
65	          Ti
66	           U
67	          Zn
68	        B(3)
69	       C(-2)
70	       C(-3)
71	       C(-4)
72	        C(2)
73	        C(4)
74	      Cl(-1)
75	       Cl(1)
76	       Cl(3)
77	       Cl(5)
78	       Cl(7)
79	       Co(2)
80	       Co(3)
81	       Cr(2)
82	       Cr(3)
83	       Cr(6)
84	       Cu(1)
85	       Cu(2)
86	       Eu(2)
87	       Eu(3)
88	       Fe(2)
89	       Fe(3)
90	       Gd(3)
91	        H(0)
92	       Mn(2)
93	       Mn(3)
94	       Mn(6)
95	       Mn(7)
96	       N(-3)
97	        N(0)
98	        N(3)
99	        N(5)
100	        O(0)
101	        P(5)
102	       S(-2)
103	        S(2)
104	        S(3)
105	        S(4)
106	        S(5)
107	        S(6)
108	        S(7)
109	        S(8)
110	       Sm(2)
111	       Sm(3)
112	        U(3)
113	        U(4)
114	        U(5)
115	        U(6)
116	       m_OH-
117	        m_H+
118	       m_H2O
119	     m_AlO2-
120	     m_HAlO2
121	    m_AlOH+2
122	      m_Al+3
123	m_Al(CH3COO)2+
124	      m_BO2-
125	    m_B(OH)3
126	      m_C2H4
127	      m_C2H6
128	       m_CH4
129	        m_CO
130	     m_CO3-2
131	     m_HCOO-
132	     m_CH3OH
133	     m_HCO3-
134	    m_NaHCO3
135	     m_CaCO3
136	   m_CH3COO-
137	  m_NaCH3COO
138	m_ScCH3COO+2
139	     m_HCOOH
140	       m_CO2
141	     m_MgCO3
142	      m_C3H8
143	  m_CH3CH2OH
144	      m_CH2O
145	  m_LiCH3COO
146	   m_KCH3COO
147	       m_CN-
148	   m_CH3COOH
149	 m_NH4CH3COO
150	 m_CaCH3COO+
151	      m_SCN-
152	  m_CO(NH2)2
153	       m_HCN
154	      m_Ca+2
