Marc Neveu - 13 Aug. 2015
This file lists the quantities output by PHREEQC simulations generated by IcyDwarf’s ParamExploration() subroutine in Outputs/ParamExploration.txt.
Each line corresponds to a simulation whose input parameters (temperature, pressure, etc.) are given in the first few columns.
Each column corresponds to a physical or chemical quantity (solution, solid, and gas composition) according to the list below.

Column	Quantity
0	Temperature
1	Pressure
2	Starting pH
3	Starting pe
4	pe(FMQ) = -pH + 0.25*(logfO2+logKO2H2O)
5	Log fO2=FMQ+...
6	W:R
7	Final pH
8	Final pe
9	temp
10	mu
11	mass_H2O
12	Al
13	B
14	C
15	Ca
16	Cl
17	Co
18	Cr
19	Cu
20	Eu
21	Fe
22	Gd
23	K
24	Li
25	Mg
26	Mn
27	Mo
28	N
29	Na
30	Ni
31	P
32	S
33	Sc
34	Si
35	Sm
36	Th
37	Ti
38	U
39	Zn
40	OH-
41	H+
42	H2O
43	AlO2-
44	NaAlO2
45	HAlO2
46	Al(OH)2+
47	AlOH+2
48	Al(SO4)2-
49	AlSO4+
50	AlHPO4+
51	Al+3
52	Al2(OH)2+4
53	AlH2PO4+2
54	AlCH3COO+2
55	Al3(OH)4+5
56	Al(CH3COO)2+
57	Al13O4(OH)24+7
58	BH4-
59	BO2-
60	B(OH)3
61	NaB(OH)4
62	CaB(OH)4+
63	MgB(OH)4+
64	B2O(OH)5-
65	C2H4
66	C2H6
67	C3H8
68	CH4
69	CO
70	CO3-2
71	HCO3-
72	CaCO3
73	NaCO3-
74	NaHCO3
75	CO2
76	HCOO-
77	MnCO3
78	UO2(CO3)3-4
79	CaHCO3+
80	MgCO3
81	EuOH(CO3)2-2
82	UO2(CO3)3-5
83	Eu(OH)2CO3-
84	FeCO3
85	MgHCO3+
86	EuOHCO3
87	MnHCO3+
88	Eu(CO3)3-3
89	Sm(CO3)2-
90	Gd(CO3)2-
91	U(CO3)5-6
92	UO2(CO3)2-2
93	FeHCO3+
94	Eu(CO3)2-
95	HCOOH
96	SmCO3+
97	GdCO3+
98	EuCO3+
99	CO(NH2)2
100	SCN-
101	ScCH3COO+2
102	CH3COO-
103	ZnCO3
104	U(CO3)4-4
105	SmHCO3+2
106	NaCH3COO
107	ZnHCO3+
108	GdHCO3+2
109	LiCH3COO
110	UO2CO3
111	CH3OH
112	EuHCO3+2
113	CN-
114	CH3COOH
115	KCH3COO
116	CaCH3COO+
117	CH2O
118	Cu(CO3)2-2
119	CuCO3(OH)2-2
120	NH4CH3COO
121	HCN
122	CuCO3
123	MnCH3COO+
124	MgCH3COO+
125	CoCH3COO+
126	FeCO3+
127	(UO2)2CO3(OH)3-
128	FeCH3COO+
129	CH3CH2OH
130	(UO2)3(CO3)6-6
131	NiCH3COO+
132	Sc(CH3COO)2+
133	SmCH3COO+2
134	ZnCH3COO+
135	GdCH3COO+2
136	EuCH3COO+2
137	CuCH3COO
138	Li(CH3COO)2-
139	Na(CH3COO)2-
140	Ca(CH3COO)2
141	K(CH3COO)2-
142	NH4(CH3COO)2-
143	Mn(CH3COO)2
144	Mg(CH3COO)2
145	Co(CH3COO)2
146	UO2SCN+
147	CuCH3COO+
148	Fe(CH3COO)2
149	Ni(CH3COO)2
150	Sc(CH3COO)3
151	Zn(CH3COO)2
152	Sm(CH3COO)2+
153	Gd(CH3COO)2+
154	Eu(CH3COO)2+
155	Zn(SCN)2
156	Cu(CH3COO)2-
157	(UO2)3(OH)5CO2+
158	(UO2)3O(OH)2(HCO3)+
159	Mn(CH3COO)3-
160	UO2(SCN)2
161	Co(CH3COO)3-
162	Cu(CH3COO)2
163	USCN+3
164	Ni(CH3COO)3-
165	Sm(CH3COO)3
166	Gd(CH3COO)3
167	Zn(CH3COO)3-
168	Eu(CH3COO)3
169	UO2(SCN)3-
170	Cu(CH3COO)3-
171	Zn(SCN)4-2
172	Zn(CN)4-2
173	(UO2)11(CO3)6(OH)12-2
174	CaSO4
175	Ca+2
176	CaPO4-
177	CaCl+
178	CaHPO4
179	CaOH+
180	CaCl2
181	CaP2O7-2
182	CaH2PO4+
183	CaNO3+
184	Cl-
185	NaCl
186	LiCl
187	KCl
188	MnCl+
189	MgCl+
190	CoCl+
191	HCl
192	FeCl+
193	MnCl3-
194	EuCl+
195	CuCl2-
196	EuCl2
197	CuCl3-2
198	Zn(OH)Cl
199	EuCl3-
200	ZnCl+
201	FeCl2
202	EuCl4-2
203	NiCl+
204	SmCl+2
205	GdCl+2
206	FeCl4-2
207	EuCl+2
208	ZnCl2
209	SmCl2+
210	GdCl2+
211	ZnCl3-
212	EuCl2+
213	ZnCl4-2
214	SmCl3
215	GdCl3
216	EuCl3
217	GdCl4-
218	SmCl4-
219	UO2Cl+
220	EuCl4-
221	CuCl+
222	UO2Cl2
223	CrCl+2
224	CuCl2
225	CrCl2+
226	FeCl+2
227	FeCl2+
228	CuCl4-2
229	FeCl4-
230	ThCl+3
231	CrO3Cl-
232	ThCl2+2
233	UCl+3
234	ThCl3+
235	ThCl4
236	ClO-
237	HClO
238	ClO2-
239	HClO2
240	ClO3-
241	UO2ClO3+
242	ClO4-
243	ZnClO4+
244	HCoO2-
245	Co(HS)2
246	CoHS+
247	Co(OH)2
248	Co+2
249	CoSO4
250	Co(OH)4-2
251	CoS2O3
252	Co2OH+3
253	Co4(OH)4+4
254	CoNO3+
255	Co+3
256	Cr+2
